Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Image Processing Based Classification of Enzymatic Browning in Chopped Apples,M. Arora; M. K. Dutta; C. M. Travieso; R. Burget,"Electronics and Communication Engineering Department, Amity University, Noida, India; Centre for Advanced Studies, Dr. APJ Abdul Kalam Technical University, Lucknow, India; Institute for Technological Development and Innovation in Communications University of Las Palmas de Gran Canaria; Department of Telecommunications, Brno University of Technology, Brno, Czech Republic",2018 IEEE International Work Conference on Bioinspired Intelligence (IWOBI),13-Sep-18,2018,,,1,8,"Apples are one of the most common fruit on the planet. It is rich in iron, fiber, antioxidants and other nutritive quality; which are incredibly important for human body and brain. The quality of an apple gets affected once they are chopped. This paper presents a non-destructive image processing based algorithm that identifies the presence of enzymatic browning in chopped apples for the determination of its nutrients loss. The proposed imperative assemblage of this image processing algorithm makes it flexible, automatic and non-destructive. The quantification of enzymatic browning in chopped apples has been obtained with high precision using this proposed imaging based method. The machine learning based on strategic selection of discriminatory statistical features of chopped apples extracted in wavelet domain makes it a novel approach. 85% of accuracy has been achieved by using machine learning based Support Vector Machine (SVM) classifier.",,978-1-5386-7506-9,10.1109/IWOBI.2018.8464181,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8464181,chopped apple;image processing;enzymatic browning;discriminatory statistical feature;wavelet domain;p-value,Image segmentation;Feature extraction;Image color analysis;Wavelet domain;Clustering algorithms;Cameras,food products;image classification;image processing;learning (artificial intelligence);statistical analysis;support vector machines,machine learning based support vector machine;SVM classifier;statistical features;image processing based classification;image processing algorithm;chopped apples;enzymatic browning,,4,,20,IEEE,13-Sep-18,,,IEEE,IEEE Conferences
Implementation of Deep Learning Methods to Identify Rotten Fruits,S. Chakraborty; F. M. J. M. Shamrat; M. M. Billah; M. A. Jubair; M. Alauddin; R. Ranjan,"Department of Computer Science and Engineering, European University of Bangladesh, Dhaka, Bangladesh; Department of Software Engineering, Daffodil International University, Dhaka, Bangladesh; Department of Software Engineering, Daffodil International University, Dhaka, Bangladesh; Department of Computer Science and Engineering, European University of Bangladesh, Dhaka, Bangladesh; Department of Computer Science and Engineering, European University of Bangladesh, Dhaka, Bangladesh; Department of Plant Breeding and Genetics, Punjab Agriculture University, Punjab, India",2021 5th International Conference on Trends in Electronics and Informatics (ICOEI),21-Jun-21,2021,,,1207,1212,"Mostly in the agriculture sector, identifying rotten fruits has been critical. The classification of fresh and rotting fruits is typically carried out by humans, which is ineffective for fruit growers. Humans wear out by doing the same role many days, but robots do not. As a result, the study proposed a method for reducing human effort, lowering production costs, and shortening production time by detecting defects in agricultural fruits. If the defects are not detected, the contaminated fruits can contaminate the good fruits. As a result, we proposed a model to prevent the propagation of rottenness. From the input fruit images, the proposed model classifies the fresh and rotting fruits. We utilized three different varieties of fruits in this project: apple, banana, and oranges. The features from input fruit images are collected using a Convolutional Neural Network, and the images are categorized using Max pooling, Average pooling, and MobileNetV2 architecture. The proposed model's performance is tested on a Kaggle dataset, and it achieves the highest accuracy in training data is 99.46% and in the validation set is 99.61% by applying MobileNetV2. The Max pooling achieved 94.49% training accuracy and validation accuracy is 94.97%. Besides, the Average pooling achieved 93.06% training accuracy and validation accuracy is 93.72%. The findings revealed that the proposed CNN model is capable of distinguishing between fresh and rotting fruits.",,978-1-6654-1571-2,10.1109/ICOEI51242.2021.9453004,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9453004,rotten fruit detection;CNN;max-pooling;average pooling;MobileNetV2;deep learning,Training;Deep learning;Training data;Production;Market research;Data models;Agriculture,agricultural products;agriculture;convolutional neural nets;deep learning (artificial intelligence);image classification;object detection,deep learning methods;rotten fruit identification;fruit growers;agricultural fruits;contaminated fruits;good fruits;input fruit images;agriculture sector;fresh fruit classification;rotting fruit classification;defect detection;rottenness propagation prevention;apple;banana;oranges;convolutional neural network;max pooling;average pooling;MobileNetV2 architecture;Kaggle dataset;training data;validation set;training accuracy;validation accuracy;CNN model,,7,,27,IEEE,21-Jun-21,,,IEEE,IEEE Conferences
Improved Quality Detection Technique for Fruits Using GLCM and MultiClass SVM,A. A. Chandini; U. Maheswari B.,"Department of Computer Science and Engineering, Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Bengaluru, India; Department of Computer Science and Engineering, Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Bengaluru, India","2018 International Conference on Advances in Computing, Communications and Informatics (ICACCI)",2-Dec-18,2018,,,150,155,"Intake of healthy fruits and vegetables is vital as they are the source of energy for all living beings. There is an increasing demand for quality in all the consumed food items. Nowadays, starting from consumers, retailers to food manufacturing companies are inspecting food visually for its quality. This manual process incurs more time and it is a laborious and tiring task. So, there is a demand for an automated process which quickly examines, detects the defects and sorts them according to quality. There are many factors such as temperature, humidity etc., affect the quality of fruits. In this work, we have put forward a reliable mechanism for detecting the defects in fruits. The principal goal of this work is to detect and segregate low and best quality fruits. It is achieved using the combination of hardware and image processing techniques and machine learning algorithms. The novelty in this work is interfacing Raspberry Pi with MATLAB and image is captured. The segmentation, feature extraction, and classification is done using MATLAB. Our proposed system exhibits better performance than the existing system.",,978-1-5386-5314-2,10.1109/ICACCI.2018.8554876,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8554876,Defect detection;defect classification;Raspberry Pi;GLCM;MultiClass SVM,Feature extraction;Image color analysis;Cameras;Image segmentation;Matlab;Hardware,agricultural products;automatic optical inspection;feature extraction;food products;image capture;image classification;image segmentation;inspection;learning (artificial intelligence);production engineering computing;quality control;support vector machines,fruit quality detection technique;GLCM;multiClass SVM;inspection;machine learning algorithm;Raspberry Pi;Matlab;image capture;image segmentation;feature extraction;image classification;food manufacturing companies;vegetables;image processing techniques,,8,,14,IEEE,2-Dec-18,,,IEEE,IEEE Conferences
Intelligent Refrigerator using Machine Learning and IoT,D. Rajeswari; S. R; R. S; P. M,"Department of Data Science and Business Systems, School of Computing, College of Engineering and Technology; Department of Computing Technologies, School of Computing, College of Engineering and Technology, SRM Institute of Science and Technology, Kattankulathur, India; Department of Computing Technologies, School of Computing, College of Engineering and Technology, SRM Institute of Science and Technology, Kattankulathur, India; Department of Computing Technologies, School of Computing, College of Engineering and Technology, SRM Institute of Science and Technology, Kattankulathur, India","2022 International Conference on Advances in Computing, Communication and Applied Informatics (ACCAI)",15-Apr-22,2022,,,1,9,"Machine Learning and Internet of Things (IoT) play a vital role in the current electronics world. Electronic appliances operated by humans are automated and accessed remotely via IoT and 5G networks. Smart Cars, Drone Deliveries, and Intelligent Refrigerators are some of IoT and machine learningmajor applications. Potentially, with the aid of computing devices Intelligent Refrigerators can be accessed from anywhere and anytime. In Intelligent Refrigerators,a single tap on the computing devices predicts the quality of food items kept in the refrigerator. Besides, in order to work smartly, intelligent IoT devices deployed in intelligent refrigerators predict food quality anonymously using machine learningtechniques. This paper uses ensemble machine learning technique with naive bayes, support vector machine and decision tree to classify the considered fruits are spoiled or not.",,978-1-6654-9529-5,10.1109/ACCAI53970.2022.9752587,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9752587,Intelligent refrigerator;machine learning;IoT;naive bayes;support vector machine;decision tree,5G mobile communication;Support vector machine classification;Machine learning;Internet of Things;Decision trees;Automobiles;Informatics,decision trees;domestic appliances;home automation;Internet of Things;learning (artificial intelligence);pattern classification;support vector machines,"decision tree;Intelligent refrigerator;current electronics world;electronic appliances;machine learningmajor applications;devices Intelligent Refrigerators;Intelligent Refrigerators,a;computing devices;intelligent IoT devices;machine learningtechniques;ensemble machine learning technique;support vector machine",,,,21,IEEE,15-Apr-22,,,IEEE,IEEE Conferences
Internet of Things for Greenhouse Monitoring System Using Deep Learning and Bot Notification Services,N. Kitpo; Y. Kugai; M. Inoue; T. Yokemura; S. Satomura,"Shibaura Institute of Technology, Saitama, Japan; Shibaura Institute of Technology, Saitama, Japan; Shibaura Institute of Technology, Saitama, Japan; Shibaura Institute of Technology, Saitama, Japan; Valley Campus Japan, Kanagawa, Japan",2019 IEEE International Conference on Consumer Electronics (ICCE),7-Mar-19,2019,,,1,4,"Internet of things (IoT) plays a big important role in agricultural industry recently in order to provide a support to farmers such as growth monitoring system of temperature, humidity and water supply, and also early disease monitoring and detection system. To provide a smart farming solutions, this paper proposed an IoT system with a bot notification on tomato growing stages. The tomato dataset was obtained from Shinchi Agri-Green, the tomato greenhouse in Fukushima, Japan. We trained and tested the deep learning model to detect the fruit proposal region. Then, the detected regions were classified into 6 stages of fruit growth using the visible wavelength as a feature in SVM classification with the weight accuracy of 91.5%.",2158-4001,978-1-5386-7910-4,10.1109/ICCE.2019.8661999,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8661999,internet of things;bot notification;tomato growth;greenhouse;deep learning;image processing,Monitoring;Deep learning;Green products;Image color analysis;Cameras;Feature extraction;Servers,agriculture;crops;greenhouses;image processing;Internet of Things;learning (artificial intelligence);plant diseases;product quality;support vector machines;water supply,humidity conditions;disease monitoring;Fukushima;Japan;SVM classification;visible wavelength;Shinchi;temperature conditions;image processing;deep learning model;tomato greenhouse;IoT system;smart farming solutions;water supply;growth monitoring system;agricultural industry;bot notification services;greenhouse monitoring system,,15,,7,IEEE,7-Mar-19,,,IEEE,IEEE Conferences
Kiwifruit vine extraction based on low altitude UAV remote sensing and deep semantic segmentation,J. Deng; Z. Niu; X. Zhang; J. Zhang; S. Pan; H. Mu,"School of Mechanical and Electronic Engineering, Northwest Agriculture & Forestry University, Xi’an City, China; School of Mechanical and Electronic Engineering, Northwest Agriculture & Forestry University, Xi’an City, China; School of Mechanical and Electronic Engineering, Northwest Agriculture & Forestry University, Xi’an City, China; School of Mechanical and Electronic Engineering, Northwest Agriculture & Forestry University, Xi’an City, China; School of Mechanical and Electronic Engineering, Northwest Agriculture & Forestry University, Xi’an City, China; School of Mechanical and Electronic Engineering, Northwest Agriculture & Forestry University, Xi’an City, China",2021 IEEE International Conference on Artificial Intelligence and Computer Applications (ICAICA),2-Aug-21,2021,,,843,846,"Extraction and segmentation of kiwifruit vine range is an important part of precision agriculture in kiwifruit orchard. In this paper, depth semantic segmentation and traditional machine learning are used to segment and extract kiwifruit vines from orthophoto images, and the accuracy and image quality of vine segmentation based on pspnet, SVM and random forest classification in another test set are compared. Experimental results show that although the mean pixel accuracy of deep semantic segmentation is slightly lower than that of traditional machine learning segmentation, the segmentation image quality of deep semantic segmentation is better and the pixels are more continuous. The deep learning method effectively developed UAV remote sensing image data, improved the usability of remote sensing image, and provided necessary plant information for orchard precision agriculture.",,978-1-6654-1867-6,10.1109/ICAICA52286.2021.9498221,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9498221,Deep learning;Unmanned aerial vehicle remote sensing image;Kiwi fruit;Image Segmentation,Training;Deep learning;Support vector machines;Image quality;Image segmentation;Image recognition;Target recognition,agriculture;autonomous aerial vehicles;deep learning (artificial intelligence);feature extraction;geophysical image processing;image classification;image segmentation;remote sensing;support vector machines,deep semantic segmentation;deep learning method;UAV remote sensing image data;kiwifruit vine extraction;kiwifruit orchard;depth semantic segmentation;vine segmentation;machine learning segmentation;segmentation image quality;orthophoto image;orchard precision agriculture;SVM;random forest classification,,,,10,IEEE,2-Aug-21,,,IEEE,IEEE Conferences
Leaf Diseases Detection for Commercial Cultivation of Obsolete Fruit in Bangladesh using Image Processing System,M. H. Sheikh; T. T. Mim; M. S. Reza; M. H. Hena,"Dept. of Computer Science and Engineering, Daffodil International University, Dhaka, Bangladesh; Dept. of Computer Science and Engineering, Daffodil International University, Dhaka, Bangladesh; Dept. of Computer Science and Engineering, Daffodil International University, Dhaka, Bangladesh; Dept. of Computer Science and Engineering, Daffodil International University, Dhaka, Bangladesh",2019 8th International Conference System Modeling and Advancement in Research Trends (SMART),16-Jun-20,2019,,,271,275,"Bangladesh is country of seasons. Naturally the people of Bangladesh are blessed with various native seasonal fruits to fulfill their needs and appetites. So, hundreds of local fruits are cultivated through the yearlong by the local farmers. But in recent times some obsolete fruits like apple, blueberry, cherry, grape, orange, peach, raspberry, strawberry etc. are getting popularity amongst local consumers of Bangladesh and that is the reason why local farmers are now contemplating towards the commercial cultivation of these obsolete fruits. But there are too many obstacles in that process of commercial cultivation including weather demand, quality of soil, cultivation technology, diseases, insects attack etc. Most of the time diseases of these fruits notice our eyes when fruits are attacked and we cannot help but let the fruits get rotten and suffer the financial loss too. Even though we might not handle every barrier, but we can use deep learning and image processing technology for the detection of diseases of these fruits and help the farmers taking necessary steps on time. To simplify the work, we have taken the images of these obsolete fruits leaves and implemented image processing algorithm and deep learning methods on them. After the completion of this research we have accomplished an accuracy of 92.56%. This research is going to help the farmers to cultivate and promote these obsolete fruits more in a broaden way by reducing the diseases. It is an eco-friendly system which detects diseases without much effort only by clicking attacked images and putting that in the system and the system will give an output of which disease the plant is attacked by.",,978-1-7281-3245-7,10.1109/SMART46866.2019.9117505,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9117505,Obsolete;Commercial;Cultivation;Image processing;CNN;Deep Learning,,agricultural products;agriculture;image processing;learning (artificial intelligence);plant diseases;product quality,leaf diseases detection;obsolete fruit;Bangladesh;image processing system;native seasonal fruits;farmers;strawberry;local consumers;cultivation technology;weather demand;blueberry;cherry;raspberry;soil quality;deep learning methods;eco-friendly system,,1,,13,IEEE,16-Jun-20,,,IEEE,IEEE Conferences
"Learning Fruit Class from Short Wave Near Infrared Spectral Features, an AI Approach Towards Determining Fruit Type",A. Zeb; W. S. Qureshi; A. Ghafoor; D. O. Sullivan,"Department of Electrical Engineering, MCS, National University of Sciences and Technology, Islamabad, Pakistan; Department of Electrical Engineering, MCS, National University of Sciences and Technology, Islamabad, Pakistan; Department of Electrical Engineering, MCS, National University of Sciences and Technology, Islamabad, Pakistan; Department of Electrical Engineering, MCS, National University of Sciences and Technology, Islamabad, Pakistan",2022 8th International Conference on Mechatronics and Robotics Engineering (ICMRE),17-Mar-22,2022,,,193,196,"This paper analyzes the potential of using short-wave NIRS (near-infrared spectroscopy) for fruit classification problems. The research focuses on O-H and C-H overtone features of fruit and its correlation with NIRS and therefore opens a new dimension of fruit classification problems using NIRS. Eleven fruits, which include apple, cherry, hass, kiwi, grapes, mango, melon, orange, loquat, plum, and apricot, were used in this study to cover physical characteristics such as peel thinness, pulp, seed thickness, and size. NIR spectral data is collected using the industry-standard F-750 fruit quality meter (wavelength range 300-1100nm) for all fruit mentioned above. Different shallow machine learning architectures were trained to classify fruits using spectral feature vectors. At first, using 83 features vectors within the range of 725-975nm (3nm-resolution) and then using only four features of wavelength 770nm, 840nm, 910nm, and 960nm (corresponding to O-H and C-H overtone features). For the 83 spectral features range as an input, the QDA classifier achieved a cross-validation accuracy of 100% and a test data accuracy of 93.02%. For the four features vector as an input, the QDA classifier achieved a cross-validation accuracy of 97.1% and test data accuracy of 90.38%. The results demonstrate that fruit classification is mainly a function of absorptivity of short wave NIR radiation primarily with respect to O-H and C-H overtones features. An LED-based device mainly having 770nm, 840nm, 910nm, and 960nm range LEDs can be used in applications where automation in fruit classification is required.",,978-1-6654-8377-3,10.1109/ICMRE54455.2022.9734107,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9734107,NIR Spectroscopy;Fruit classification;Machine learning,Meters;Mechatronics;Correlation;Automation;Pipelines;Machine learning;Light emitting diodes,agricultural products;feature extraction;food products;infrared spectroscopy;learning (artificial intelligence);signal classification;spectral analysis,short wave near infrared spectral features;fruit type;short-wave NIRS;near-infrared spectroscopy;fruit classification;NIR spectral data;industry-standard F-750 fruit quality meter;spectral feature vector;QDA classifier;cross-validation accuracy;LED;C-H overtone feature;shallow machine learning architecture;fruit class learning;physical characteristics;peel thinness;pulp;short wave NIR radiation absorptivity;wavelength 960.0 nm;wavelength 300.0 nm to 1100.0 nm;wavelength 725.0 nm to 975.0 nm;wavelength 770.0 nm;wavelength 840.0 nm;wavelength 910.0 nm,,,,16,IEEE,17-Mar-22,,,IEEE,IEEE Conferences
Loading detection in 3D printed polymer parts using the MWPE method and deep learning,A. Modir; I. Tansel; D. Perez; B. Lamy,"Department of Mechanical and Materials Engineering, Florida International University, Miami, FL, USA; Department of Mechanical and Materials Engineering, Florida International University, Miami, FL, USA; Department of Mechanical and Materials Engineering, Florida International University, Miami, FL, USA; Department of Mechanical and Materials Engineering, Florida International University, Miami, FL, USA","2022 8th International Conference on Control, Decision and Information Technologies (CoDIT)",30-Jun-22,2022,1,,561,564,"Sensing and automated classification are needed to improve the reliability and performance of engineering machines. Structural health monitoring (SHM) systems may be used to identify defects, estimate applied loads, and detect loose bolts. The digital components cannot generate harmonic signals and sweep sine waves which are widely used in the SHM systems. Multi-width pulse excitation (MWPE) was proposed to provide the input for SHM systems and its performance was compared with the sweep sine wave. By considering the continuously increasing use of additively manufacturing equipment in the production of critical parts with complex geometries, 3D printed test specimens were fabricated for load detection experiments. The surface response to excitation (SuRE) method was implemented by using the Short-Time Fourier Transformation (STFT) and Convolutional Neural Networks (CNN). The sweep sine wave and the proposed MWPE signals worked equally well at the identification of free and loaded test samples when the response was classified by combining STFT and CNN.",2576-3555,978-1-6654-9607-0,10.1109/CoDIT55151.2022.9803888,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9803888,,Training;Time-frequency analysis;Three-dimensional displays;Surface waves;Transfer functions;Solids;Sensors,,,,,,17,IEEE,30-Jun-22,,,IEEE,IEEE Conferences
LSTM-CGAN: Towards Generating Low-Rate DDoS Adversarial Samples for Blockchain-Based Wireless Network Detection Models,Z. Liu; X. Yin,"College of Computer Science and Engineering, Shandong University of Science and Technology, Qingdao, China; Blockchain Laboratory of Agricultural Vegetables, Weifang University of Science and Technology, Shouguang, China",IEEE Access,9-Feb-21,2021,9,,22616,22625,"Low-rate Distributed DoS (LDDoS) attack is a complex large-scale attack behavior with strong time-domain characteristics in blockchain-based wireless network. Blockchain with Machine learning-based models, as promising ways, are taken to detect them and secure wireless network. However, researchers focused on how to improve models' detection performance and work out new blockchain-based protection technologies during the past decades. Due to lack of evolving data, these models and technologies may have poor stability in the face of confrontational samples. To cope with the problem, this paper proposes a novel LSTM-CGAN method to generate high-quality LDDoS adversarial samples for blockchain-based wireless network detection models. In this method, we give a brief feature analysis about LDDoS attack in blockchain-based wireless network and work out its corresponding time series model firstly. And then, we take use of Long Short-Term Memory Networks (LSTM) to learn relationships among sequenced network packages in the same flow. At last, we establish a Condition Generative Adversarial Networks (CGAN) model to use above relationships as specific conditions for generating mimicking behaviors of LDDoS attacks in blockchain-based wireless network. The experimental results show that these generated adversarial samples based on both public and private datasets can cheat the machine learning detection models, and have the similar attack characteristics with the real samples. Consequently, they can be used as blockchain-based wireless network dataset of machine learning classifiers for training to enhance models' stability.",2169-3536,,10.1109/ACCESS.2021.3056482,Doctoral Scientific Fund Project of Weifang University of Science and Technology of China(grant numbers:2017BS17); Scientific Fund Project of Facility Horticulture Laboratory of Universities in Shandong of China(grant numbers:2018YY016); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9344707,Blockchain;condition generative adversarial networks;long short-term memory networks;neural networks;network security;wireless network,Wireless networks;Generative adversarial networks;Feature extraction;IP networks;Gallium nitride;Computer crime;Analytical models,blockchains;computer network security;learning (artificial intelligence);time series;wireless channels,LDDoS attack;time series model;long short-term memory networks;sequenced network packages;machine learning detection;blockchain-based wireless network dataset;DoS attack;blockchain-based protection technologies;high-quality LDDoS adversarial samples;low-rate DDoS adversarial samples;blockchain-based wireless network detection;LSTM-CGAN;low-rate distributed DoS attack;secure wireless network;feature analysis;condition generative adversarial networks;public datasets;private datasets;machine learning classifiers,,6,,36,CCBY,2-Feb-21,,,IEEE,IEEE Journals
Machine learning algorithm for Avocado image segmentation based on quantum enhancement and Random forest,K. El Amraoui; A. Ezzaki; L. Masmoudi; M. Hadri; H. El Belrhiti; M. El Ansari; A. Amari,"Physics dept., LCS Laboratory, Faculty of science, Mohammed 5, University in Rabat, Rabat, Morocco; Physics dept., LCS Laboratory, Faculty of science, Mohammed 5, University in Rabat, Rabat, Morocco; Physics dept., LCS Laboratory, Faculty of science, Mohammed 5, University in Rabat, Rabat, Morocco; Physics dept., LCS Laboratory, Faculty of science, Mohammed 5, University in Rabat, Rabat, Morocco; Allied fundamental sciences dept., Agronomic and Veterinary Institute Hassan II, Mohammed 5 University in Rabat, Rabat, Morocco; Informtics and Applications laboratory, Faculty of science, Moulay Ismail University, Meknes, Morocco; Physics dept., LCS Laboratory, Faculty of science, Mohammed 5, University in Rabat, Rabat, Morocco","2022 2nd International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)",25-Mar-22,2022,,,1,7,"Precision agriculture (PA) represents the use of new technologies, specially computer vision, to increase agricultural productivity, where image segmentation plays a crucial role in several PA applications. This paper presents a Machine learning algorithm for Avocado image segmentation based on quantum enhancement and Random forest. In order to show the performance of the proposed method in term of segmentation, which represents one of the most sensible computer vision technics to noise and low illumination images, a set of experimentations based on synthetic and real images devoted to agricultural applications (avocado fruit detection and localization) are done. The Segmentation accuracy (SA) and the mean intersection over Union (MIoU) metrics are adopted to evaluate its performance against other algorithms presented in the literature. The proposed method shows good results in terms of segmentation quality, sensibility to noise and low illumination conditions, outperforming the existing and widely used binarization methods.",,978-1-6654-2209-3,10.1109/IRASET52964.2022.9738360,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9738360,Segmentation;Quantum mechanics;Machine learning;precision agriculture,Measurement;Training;Image segmentation;Computer vision;Machine learning algorithms;Random access memory;Lighting,agricultural products;agriculture;computer vision;geophysical image processing;image segmentation;learning (artificial intelligence),Avocado image segmentation;quantum enhancement;Random forest;sensible computer vision technics;low illumination images;synthetic images;agricultural applications;Segmentation accuracy;segmentation quality;low illumination conditions;Machine learning algorithm;precision agriculture;agricultural productivity;PA applications,,,,28,IEEE,25-Mar-22,,,IEEE,IEEE Conferences
Machine learning based classification of ripening and decay stages of Mango (Mangifera indica L.) cv. Tom EJC,H. M. W. M. Hippola; D. P. WaduMesthri; R. M. T. P. Rajakaruna; L. Yasakethu; M. Rajapaksha,"School of Engineering, Sri Lanka Technological Campus, Padukka, Sri Lanka; School of Engineering, Sri Lanka Technological Campus, Padukka, Sri Lanka; Faculty of Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; School of Engineering, Sri Lanka Technological Campus, Padukka, Sri Lanka; School of Engineering, Sri Lanka Technological Campus, Padukka, Sri Lanka",2022 2nd International Conference on Image Processing and Robotics (ICIPRob),21-Jun-22,2022,,,1,6,"Tom EJC is a variety of Mango grown in tropical countries like Sri Lanka and India which has a very large demand and hence expensive. From the early stage of ripening, until the senescence stage, the process takes around 10–14 days. The fruit shows a yellowish color starting from the very early stage of ripening, throughout the period until it reaches the senescence stage. Unlike the other Mango varieties, it is difficult for a regular customer to determine the stage of ripening of the Tom EJC fruit, by observation. This paper focuses towards developing a vision-based classifier to rapidly identify ripening and decay stages of Tom EJC mango using surface image captures. A dataset of Tom EJC mango images was collated at different maturity levels. A Convolutional Neural Network (CNN) is proposed and tested using over 6000 Tom EJC images. The proposed model is shown to have a 76% testing accuracy in identifying four stages of maturity.",,978-1-6654-0771-7,10.1109/ICIPRob54042.2022.9798722,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9798722,Computer vision;post-harvest quality assessment;ripening and decay stages;deep learning;convolutional neural networks,Deep learning;Computer vision;Image color analysis;Computational modeling;Image capture;Quality assessment;Convolutional neural networks,agricultural engineering;agricultural products;computer vision;convolutional neural nets;food products;image classification;learning (artificial intelligence),machine learning based classification;ripening decay stages;mangifera indica l;senescence stage;mango varieties;Tom EJC fruit;vision-based classifier;convolutional neural network;CNN;Tom EJC mango images;maturity levels,,,,18,IEEE,21-Jun-22,,,IEEE,IEEE Conferences
Machine Learning Driven Approach Towards the Quality Assessment of Fresh Fruits Using Non-Invasive Sensing,A. Ren; A. Zahid; A. Zoha; S. A. Shah; M. A. Imran; A. Alomainy; Q. H. Abbasi,"School of Electronic Engineering, Xidian University, Xi’an, China; School of Engineering, University of Glasgow, Glasgow, U.K.; School of Engineering, University of Glasgow, Glasgow, U.K.; School of Computing and Mathematics, Manchester Metropolitan University, Manchester, U.K.; School of Engineering, University of Glasgow, Glasgow, U.K.; School of Electronic Engineering and Computer Science, Queen Mary University of London, London, U.K.; School of Engineering, University of Glasgow, Glasgow, U.K.",IEEE Sensors Journal,24-Jan-20,2020,20,4,2075,2083,"In agriculture science, accurate information of moisture content (MC) in fruits and vegetables in an automated fashion can be vital for astute quality and grading evaluation. This demands for a viable, feasible and cost-effective technique for the defect recognition using timely detection of MC in fruits and vegetables to maintain a healthy sensory characteristic of fruits. Here we propose a non-invasive machine learning (ML) driven technique to monitor variations of MC in fruits using the terahertz (THz) waves with Swissto12 material characterization kit (MCK) in the frequency range of 0.75 THz to 1.1 THz. In this regard, multi-domain features are extracted from time-, frequency-, and time-frequency domains, and applied three ML algorithms such as support vector machine (SVM), k-nearest neighbour (KNN) and Decision Tree (D-Tree) for the precise assessment of MC in both apple and mango slices. The results illustrated that the performance of SVM exceeded other classifiers results using 10-fold validation and leave-one-observation-out-cross-validation techniques. Moreover, all three classifiers exhibited 100% accuracy for day 1 and 4 with 80% MC value (freshness) and 2% MC value (staleness) of both fruits’ slices, respectively. Similarly, for day 2 and 3, an accuracy of 95% was achieved with intermediate MC values in both fruits’ slices. This study will pave a new direction for the real-time quality evaluation of fruits in a non-invasive manner by incorporating ML with THz sensing at a cellular level. It also has a strong potential to optimize economic benefits by the timely detection of fruits quality in an automated fashion.",1558-1748,,10.1109/JSEN.2019.2949528,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8883189,Classification;fruits;machine learning;moisture content;terahertz sensing,Feature extraction;Sensors;Frequency-domain analysis;Monitoring;Time-domain analysis;Temperature measurement;Machine learning,agricultural products;decision trees;feature extraction;food products;nearest neighbour methods;product quality;support vector machines;terahertz wave detectors;time-frequency analysis,grading evaluation;cost-effective technique;noninvasive machine learning driven technique;time-frequency domains;support vector machine;leave-one-observation-out-cross-validation techniques;fresh fruits quality assessment;10-fold validation technique;k-nearest neighbour method;time domains;frequency domains;agriculture science;moisture content;defect recognition;healthy sensory characteristics;terahertz waves;Swiss to12 material characterization kit;feature extraction;decision tree method;apple slices;mango slices;economic benefits;frequency 0.75 THz to 1.1 THz,,25,,28,IEEE,25-Oct-19,,,IEEE,IEEE Journals
